"match_awayteam_id","match_hometeam_id","match_id","epoch","match_status","match_live","match_hometeam_name","match_awayteam_name","match_hometeam_score","match_awayteam_score","match_hometeam_halftime_score","match_awayteam_halftime_score","match_hometeam_extra_score","match_awayteam_extra_score","match_hometeam_penalty_score","match_awayteam_penalty_score","league_id"
3256,3238,139896,1539973800,"Finished",0,"Eintracht Frankfurt","Dusseldorf",7,1,3,0,3,0,NA,NA,195
2648,2651,139966,1539974700,"Finished",0,"Sheffield Wed","Middlesbrough",1,2,0,0,0,0,NA,NA,149
3049,3026,139895,1539974700,"Finished",0,"Lyon","Nimes",2,0,1,0,1,0,NA,NA,176
7108,7095,139897,1539975600,"Finished",0,"Celta Vigo","Alaves",0,1,0,0,0,0,NA,NA,468
2653,2680,140575,1540033200,"Finished",0,"Blackburn","Leeds",2,1,1,1,1,1,NA,NA,149
7097,7099,140221,1540033200,"Finished",0,"Real Madrid","Levante",1,2,0,2,0,2,NA,NA,468
2627,2616,140194,1540035000,"Finished",0,"Chelsea","Manchester United",2,2,1,0,1,0,NA,NA,148
4178,4184,140214,1540040400,"Finished",0,"AS Roma","Spal",0,2,NA,NA,NA,NA,NA,NA,262
7604,7615,141402,1540040400,"Finished",0,"Basaksehir","Kayserispor",1,0,NA,NA,NA,NA,NA,NA,511
3225,3236,140212,1540042200,"Finished",0,"Wolfsburg","Bayern Munich",1,3,NA,NA,NA,NA,NA,NA,195
3226,3224,140208,1540042200,"Finished",0,"Augsburg","RB Leipzig",0,0,NA,NA,NA,NA,NA,NA,195
2613,2630,140198,1540044000,"Finished",0,"Newcastle","Brighton",0,1,NA,NA,NA,NA,NA,NA,148
2614,2615,140195,1540044000,"Finished",0,"Bournemouth","Southampton",0,0,NA,NA,NA,NA,NA,NA,148
2623,2646,140200,1540044000,"Finished",0,"Wolves","Watford",0,2,NA,NA,NA,NA,NA,NA,148
2625,2679,140584,1540044000,"Finished",0,"Wigan","West Brom",1,0,NA,NA,NA,NA,NA,NA,149
2628,2620,140199,1540044000,"Finished",0,"West Ham","Tottenham",0,1,NA,NA,NA,NA,NA,NA,148
2629,2626,140197,1540044000,"Finished",0,"Manchester City","Burnley",5,0,NA,NA,NA,NA,NA,NA,148
2631,2624,140583,1540044000,"Finished",0,"Stoke","Birmingham",0,1,NA,NA,NA,NA,NA,NA,149
2638,2647,140581,1540044000,"Finished",0,"Reading","Millwall",3,1,NA,NA,NA,NA,NA,NA,149
2639,2637,140196,1540044000,"Finished",0,"Cardiff","Fulham",4,2,NA,NA,NA,NA,NA,NA,149
2643,2633,140578,1540044000,"Finished",0,"Hull City","Preston",1,1,NA,NA,NA,NA,NA,NA,149
2650,2644,140577,1540044000,"Finished",0,"Brentford","Bristol City",0,1,NA,NA,NA,NA,NA,NA,149
2652,2663,140589,1540044000,"Finished",0,"Charlton","Barnsley",2,0,NA,NA,NA,NA,NA,NA,149
7103,7109,140222,1540044900,"Finished",0,"Valencia","Leganes",1,1,NA,NA,NA,NA,NA,NA,468
3033,3040,140202,1540047600,"Finished",0,"Paris SG","Amiens",5,0,2,0,2,0,NA,NA,176
