"match_id","home_BallPossession","home_BlockedShots","home_CompletedPasses","home_CornerKicks","home_Fouls","home_FreeKicks","home_GoalAttempts","home_GoalkeeperSaves","home_Offsides","home_ShotsoffGoal","home_ShotsonGoal","home_Tackles","home_TotalPasses","home_YellowCards","away_BallPossession","away_BlockedShots","away_CompletedPasses","away_CornerKicks","away_Fouls","away_FreeKicks","away_GoalAttempts","away_GoalkeeperSaves","away_Offsides","away_ShotsoffGoal","away_ShotsonGoal","away_Tackles","away_TotalPasses","away_YellowCards","home_Throw-in","away_Throw-in","home_RedCards","away_RedCards","home_GoalKicks","away_GoalKicks","home_DistanceCovered(metres)","home_PassSuccess%","away_DistanceCovered(metres)","away_PassSuccess%","home_Attacks","home_DangerousAttacks","away_Attacks","away_DangerousAttacks"
147980,"67%",5,NA,4,14,10,18,5,1,5,8,12,729,1,"33%",2,NA,4,9,14,12,2,1,4,6,21,341,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
147981,"74%",4,NA,4,6,14,15,1,6,5,6,21,883,0,"26%",3,NA,2,13,12,7,3,1,2,2,20,313,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
147983,"62%",4,496,9,8,13,18,3,4,5,9,17,574,1,"38%",2,261,5,10,10,10,5,3,2,6,21,343,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
147984,"51%",1,336,2,12,15,14,2,5,7,6,20,424,0,"49%",4,304,6,14,17,11,3,1,5,2,15,407,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
147985,"55%",6,481,10,15,9,21,6,0,8,7,7,544,1,"45%",1,316,4,8,18,13,4,0,6,6,22,403,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
147986,"36%",0,269,3,7,10,13,3,6,7,6,14,360,0,"64%",4,547,6,8,14,14,4,1,6,4,20,652,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
147987,"48%",NA,457,8,7,8,18,2,2,7,11,16,NA,1,"52%",NA,506,4,8,10,5,7,1,2,3,10,NA,3,18,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
147990,"52%",NA,331,0,13,25,10,4,2,6,4,19,NA,2,"48%",NA,311,2,25,14,15,3,2,7,8,25,NA,2,21,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
147991,"42%",NA,250,1,7,14,9,4,1,4,5,27,NA,1,"58%",NA,565,4,12,8,12,4,1,6,6,16,NA,2,23,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
147992,"47%",NA,296,4,11,12,11,8,1,7,4,19,NA,3,"53%",NA,376,7,13,14,15,4,1,6,9,16,NA,3,21,18,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
147997,"72%",7,454,13,11,14,24,2,0,9,8,16,541,4,"28%",1,128,1,7,10,9,6,6,5,3,20,214,0,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
147998,"58%",6,396,5,14,12,23,1,2,13,4,33,496,3,"42%",6,276,4,10,16,13,3,2,5,2,14,362,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
148000,"51%",4,369,7,8,21,10,1,1,5,1,16,448,1,"49%",2,339,7,17,9,8,1,4,5,1,22,415,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
148001,"59%",1,361,4,12,16,14,5,0,7,6,19,427,4,"41%",3,227,4,11,12,15,3,5,4,8,15,292,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
149789,"63%",8,NA,12,13,12,22,1,1,9,5,12,479,2,"37%",2,NA,1,10,14,6,5,2,3,1,11,298,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
149790,"39%",4,NA,7,9,13,18,3,2,8,6,17,319,2,"61%",5,NA,10,11,11,14,4,2,5,4,15,503,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
149791,"42%",4,NA,7,13,17,14,5,4,6,4,17,303,3,"58%",3,NA,6,13,18,12,3,4,3,6,13,417,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
149792,"35%",1,NA,10,11,10,11,1,4,6,4,21,294,1,"65%",3,NA,6,9,16,11,4,1,6,2,19,574,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
149794,"39%",3,296,5,16,14,10,3,1,4,3,10,371,1,"61%",3,507,3,13,17,9,2,2,3,3,16,593,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
149795,"30%",1,173,4,11,16,8,7,0,4,3,23,261,4,"70%",1,542,6,16,11,13,3,1,4,8,27,617,5,NA,NA,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
149796,"60%",2,385,5,10,23,12,3,1,5,5,14,476,3,"40%",5,215,6,21,11,14,3,2,6,3,12,298,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
149797,"47%",5,269,7,11,16,19,1,2,9,5,8,359,3,"53%",1,306,3,15,13,8,5,1,5,2,13,417,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
149798,"48%",0,373,2,15,16,19,4,3,10,9,12,452,1,"52%",3,391,6,15,19,11,5,0,3,5,5,477,3,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
149799,"58%",2,343,3,19,11,15,6,2,9,4,19,445,2,"42%",1,236,4,10,21,11,3,0,1,9,15,337,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
149800,"50%",2,398,6,14,9,16,6,0,7,7,12,475,1,"50%",3,387,6,6,14,23,5,2,13,7,9,467,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
149802,"54%",7,474,9,7,10,20,3,3,8,5,15,581,NA,"46%",2,417,5,2,11,16,4,7,8,6,12,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
149803,"43%",1,374,0,4,12,11,1,2,5,5,20,463,3,"57%",4,497,6,8,5,9,2,4,2,3,19,584,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
149804,"66%",NA,408,7,14,18,12,5,1,8,4,14,NA,2,"34%",NA,162,7,17,15,10,3,1,3,7,19,NA,4,27,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
149805,"47%",NA,389,1,13,18,8,1,1,4,4,17,NA,2,"53%",NA,420,6,15,15,11,2,3,8,3,9,NA,4,9,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
149806,"41%",NA,188,2,15,10,8,5,1,5,3,23,NA,4,"59%",NA,503,7,6,16,13,2,4,6,7,18,NA,2,21,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
149811,"50%",1,305,4,16,16,9,6,6,7,1,16,403,2,"50%",3,307,4,15,21,16,1,1,7,6,18,405,4,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
149812,"38%",2,198,6,23,11,17,2,7,12,3,10,298,3,"62%",0,402,4,8,29,7,3,3,4,3,16,505,3,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
149813,"51%",4,348,12,8,16,9,3,1,2,3,19,453,4,"49%",0,336,2,14,8,6,0,1,1,5,10,434,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
150136,"43%",2,178,3,9,12,11,2,1,5,4,16,309,1,"57%",1,263,3,11,10,12,1,1,6,5,13,403,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
150139,"56%",0,280,3,15,19,5,2,0,4,1,13,403,1,"44%",3,206,2,15,15,9,1,5,3,3,10,332,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
150141,"42%",7,247,4,14,12,19,1,2,8,4,0,339,1,"58%",3,349,4,12,17,13,2,1,9,1,13,450,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
